user,level,5K,5KYear,10K,10KYear,half,halfYear,marathon,marathonYear,distance,activities,time,elevation,marathonRecord,marathonTrainDis3,marathonTrainPace3,marathonTrainPaceSec3,marathonTrainDays3,marathonTrainDis12,marathonTrainPace12,marathonTrainPaceSec12,marathonTrainDays12,marathonDate,halfRecord,halfTrainDis3,halfTrainPace3,halfTrainPaceSec3,halfTrainDays3,halfTrainDis12,halfTrainPace12,halfTrainPaceSec12,halfTrainDays12,halfDate,10KRecord,10KTrainDis3,10KTrainPace3,10KTrainPaceSec3,10KTrainDays3,10KTrainDis12,10KTrainPace12,10KTrainPaceSec12,10KTrainDays12,10KDate,5KRecord,5KTrainDis3,5KTrainPace3,5KTrainPaceSec3,5KTrainDays3,5KTrainDis12,5KTrainPace12,5KTrainPaceSec12,5KTrainDays12,5KDate
amz2101,14,24:46,2016,55:33,2016,2:07:17,2016,4:22:33,2015,335 mi,77,57 hrs,"6,165 ft",277777:46:40,0,0,0,0,0,0,0,0,null,2:9:2.41399999999976,0,0,0,0,0,0,0,0,null,1:11:11.28899999999976,0,0,0,0,0,0,0,0,null,0:29:18.5679931640625,0,0,0,0,0,0,0,0,null
kvaillancourt,14,18:52,2017,38:41,2017,1:29:49,2015,3:13:21,2017,"2,387 mi",298,304 hrs,"24,108 ft",3:13:21.0859375,141.6371474415641,7:38.990072091048376,458.9900720910484,61,146.4526472252131,7:44.88334704295397,464.883347042954,255,2017-05-27,1:29:48.86999999999989,77.77117741848626,7:45.38020727025179,465.3802072702518,52,19.442794354621565,7:45.38406474046059,465.3840647404606,53,2015-05-23,0:0:0,0,0,0,0,0,0,0,0,null,0:0:0,0,0,0,0,0,0,0,0,null
Lyn4TX,14,25:47,2015,55:23,2015,2:09:07,2015,4:48:34,2016,873 mi,233,226 hrs,"18,223 ft",4:48:33.87700000000041,126.62640585581664,10:6.012657060199672,606.0126570601997,61,69.7797477019565,9:53.9195532828121,593.9195532828121,140,2016-02-14,2:9:24.13799999999992,143.39517234808474,9:42.46141274491981,582.4614127449198,73,37.03123951433507,9:43.62194190935509,583.6219419093551,78,2015-11-14,0:56:54.81399999999985,0,0,0,0,0,0,0,0,null,0:28:4.326000000000022,0,0,0,0,0,0,0,0,null
j8kethesn8ke,14,15:56,2017,33:35,2017,1:11:36,2017,2:50:54,2017,"2,116 mi",336,245 hrs,"21,944 ft",3:17:31.92578125,0,0,0,0,0,0,0,0,null,1:11:36.2958984375,199.72805375196185,7:11.686985655460887,431.6869856554609,90,112.76540508744337,7:7.034859461858673,427.0348594618587,208,2017-11-04,0:22:19,0,0,0,0,0,0,0,0,null,0:0:0,0,0,0,0,0,0,0,0,null
thekeith0902,14,,,43:58,2014,,,3:36:13,2015,0 mi,0,0 hrs,0 ft,3:34:12.325000000000728,165.60269427218614,8:54.57637100897068,534.5763710089707,48,146.0477095165306,8:39.901612411609676,519.9016124116097,183,2016-02-28,1:37:30.70300000000043,0,0,0,0,0,0,0,0,null,0:43:58.48000000000002,99.76564305864518,8:28.426529530310518,508.4265295303105,49,64.37057013019829,8:43.69152702054555,523.6915270205455,112,2014-07-22,0:19:59.674999999999955,0,0,0,0,0,0,0,0,null
RunForSpeed.com,14,20:11,2012,,,1:38:34,2011,4:29:36,2014,863 mi,177,181 hrs,"18,386 ft",29:10:39,0,0,0,0,0,0,0,0,null,2:33:31,0,0,0,0,0,0,0,0,null,2:33:31,0,0,0,0,0,0,0,0,null,0:49:8,0,0,0,0,0,0,0,0,null
Jehewitt12,12,23:45,2017,50:54,2017,1:52:09,2017,4:26:09,2017,"1,562 mi",302,266 hrs,"25,638 ft",4:31:13.627000000000407,0,0,0,0,0,0,0,0,null,1:56:38,0,0,0,0,0,0,0,0,null,0:51:37.11700000000019,0,0,0,0,0,0,0,0,null,0:23:52.537000000000035,59.65273756115345,9:30.563448689588654,570.5634486895887,25,21.232683895261413,9:38.7697233167911,578.7697233167911,38,2016-03-26
ericcheung,14,24:57,2016,51:00,2016,1:52:02,2016,4:08:35,2016,700 mi,147,127 hrs,"15,144 ft",4:8:35.302999999999884,113.47941806371968,10:18.296499904523102,618.2964999045231,55,79.62540026760456,10:35.26441307255027,635.2644130725503,171,2016-01-17,1:52:1.7929999999996653,98.54525664765269,9:37.792325444780886,577.7923254447809,56,78.80855713108069,10:2.5083841807872886,602.5083841807873,184,2016-12-18,0:55:1.1630859375,0,0,0,0,0,0,0,0,null,0:28:9.034000000000106,0,0,0,0,0,0,0,0,null
GOLDKONG,14,,,59:04,2016,2:07:57,2017,6:29:36,2015,128 mi,32,24 hrs,"1,234 ft",277777:46:40,0,0,0,0,0,0,0,0,null,2:12:57,0,0,0,0,0,0,0,0,null,0:59:3.6019999999998618,23.510575763977783,10:41.3411628609507,641.3411628609507,15,12.973937556182454,11:10.44760921649845,670.4476092164984,36,2016-12-11,0:28:17,0,0,0,0,0,0,0,0,null
0drop,14,23:46,2017,53:49,2017,1:56:05,2016,4:17:48,2016,723 mi,279,138 hrs,"63,709 ft",4:17:48.25200000000041,74.07823082754416,8:32.76577354773451,512.7657735477345,73,57.294017526853644,9:8.43772421101039,548.4377242110104,165,2016-09-25,2:2:31.052999999999884,0,0,0,0,0,0,0,0,null,0:51:48.73799999999983,0,0,0,0,0,0,0,0,null,0:26:29.04600000000005,0,0,0,0,0,0,0,0,null
