user,level,5K,5KYear,10K,10KYear,half,halfYear,marathon,marathonYear,distance,activities,time,elevation,marathonRecord,marathonTrainDis3,marathonTrainPace3,marathonTrainPaceSec3,marathonTrainDays3,marathonTrainDis12,marathonTrainPace12,marathonTrainPaceSec12,marathonTrainDays12,marathonDate,halfRecord,halfTrainDis3,halfTrainPace3,halfTrainPaceSec3,halfTrainDays3,halfTrainDis12,halfTrainPace12,halfTrainPaceSec12,halfTrainDays12,halfDate,10KRecord,10KTrainDis3,10KTrainPace3,10KTrainPaceSec3,10KTrainDays3,10KTrainDis12,10KTrainPace12,10KTrainPaceSec12,10KTrainDays12,10KDate,5KRecord,5KTrainDis3,5KTrainPace3,5KTrainPaceSec3,5KTrainDays3,5KTrainDis12,5KTrainPace12,5KTrainPaceSec12,5KTrainDays12,5KDate
egruettner,14,20:08,2015,43:37,2015,1:38:21,2015,3:37:09,2015,714 mi,56,172 hrs,"49,858 ft",3:37:9.115999999999985,139.09404890617688,8:10.612084916473407,490.6120849164734,56,46.29715649479499,8:17.837874829121517,497.8378748291215,80,2015-10-25,1:39:42.194000000000415,0,0,0,0,0,0,0,0,null,0:44:51,0,0,0,0,0,0,0,0,null,0:19:44.596000000000004,0,0,0,0,0,0,0,0,null
Geggsmartin,14,20:20,2017,47:16,2016,1:54:34,2017,4:08:18,2016,"1,028 mi",113,151 hrs,"42,605 ft",3:38:55.39400000000023,0,0,0,0,0,0,0,0,null,2:1:50.835000000000036,0,0,0,0,0,0,0,0,null,0:50:49.121999999999844,0,0,0,0,0,0,0,0,null,0:23:20.105999999999995,0,0,0,0,0,0,0,0,null
Mezim70,14,20:38,2015,44:52,2017,1:35:19,2017,3:38:18,2017,"2,516 mi",231,280 hrs,"60,528 ft",3:38:17.5283203125,153.00377747292757,8:22.148825780943923,502.1488257809439,49,145.86063477962216,8:21.7320859743308,501.7320859743308,265,2017-04-01,1:35:19,191.79956731734993,9:1.9072041407715687,541.9072041407716,57,153.0625943450687,8:36.27852529798258,516.2785252979826,273,2017-04-30,0:44:10.007000000000062,0,0,0,0,0,0,0,0,null,0:20:37.567999999999984,107.15552752474098,8:47.82027183439402,527.820271834394,73,37.793984386974365,8:35.18206047390379,515.1820604739038,93,2015-07-19
RogerLJ,14,28:11,2016,1:01:09,2016,2:16:23,2016,6:58:12,2016,316 mi,78,69 hrs,"2,092 ft",277777:46:40,0,0,0,0,0,0,0,0,null,2:40:16,0,0,0,0,0,0,0,0,null,1:6:56.157958984375,0,0,0,0,0,0,0,0,null,0:30:13.27001953125,0,0,0,0,0,0,0,0,null
Sduffy114,14,19:32,2014,42:25,2016,1:31:12,2017,3:10:18,2017,"1,883 mi",292,249 hrs,"37,708 ft",3:10:18.429000000000087,173.2109560663423,7:55.258216677126484,475.2582166771265,71,79.72818763344142,7:48.29416693149756,468.29416693149756,143,2017-08-26,1:31:12.051000000000386,57.16972165219905,7:45.38523065045081,465.3852306504508,28,14.292430413049763,7:45.38523065045081,465.3852306504508,28,2017-04-09,0:45:39.10009765625,0,0,0,0,0,0,0,0,null,0:22:40,0,0,0,0,0,0,0,0,null
UItraman,14,21:32,2017,45:48,2017,1:40:00,2017,4:07:14,2015,"1,574 mi",501,355 hrs,"136,564 ft",4:7:13.511000000000422,49.02536236386759,9:21.91004693052173,561.9100469305217,26,15.451492537313435,9:52.41220945021337,592.4122094502134,28,2015-10-18,1:40:0.49609375,57.48857055645352,9:42.57951292039104,582.579512920391,26,51.07678967868654,10:40.757487843977856,640.7574878439779,116,2017-03-25,0:53:42.01200000000017,0,0,0,0,0,0,0,0,null,0:21:32.4420166015625,65.09056069201368,8:51.846762320757875,531.8467623207579,39,60.9150259075613,9:52.16567317499789,592.1656731749979,135,2017-07-13
charris55,14,,,,,,,5:20:19,2016,"2,184 mi",320,296 hrs,"92,647 ft",4:46:38.63699999999881,0,0,0,0,0,0,0,0,null,2:1:37.755859375,0,0,0,0,0,0,0,0,null,0:56:15.43798828125,0,0,0,0,0,0,0,0,null,0:26:40.33400000000006,0,0,0,0,0,0,0,0,null
Marcus2334,14,22:18,2016,47:31,2016,1:43:20,2016,4:26:01,2016,407 mi,78,68 hrs,"22,022 ft",4:34:20.611000000000786,0,0,0,0,0,0,0,0,null,1:43:20.485999999999876,58.26521638269933,9:49.6477258005109,589.6477258005109,21,41.65382444563198,9:9.358471590066529,549.3584715900665,86,2016-05-21,0:51:13.764999999999873,0,0,0,0,0,0,0,0,null,0:23:9.80600000000004,0,0,0,0,0,0,0,0,null
Pilgrimm549,14,,,1:07:07,2016,2:19:44,2016,4:35:44,2016,382 mi,45,49 hrs,"13,787 ft",4:35:43.89099999999962,92.27090194323966,12:43.287322258875406,763.2873222588754,29,57.414070364248694,11:52.804571661532236,712.8045716615322,89,2016-11-06,2:19:43.80899999999929,1.003015729015207,10:7.257010746337642,607.2570107463376,1,0.25075393225380177,10:7.257010746337642,607.2570107463376,1,2016-04-30,1:6:44.628000000000156,77.40781314079065,13:3.067697439680842,783.0676974396808,23,62.196684147953015,11:50.55032550511271,710.5503255051127,95,2016-12-09,0:27:43.499000000000024,0,0,0,0,0,0,0,0,null
Tank7773,13,26:15,2015,58:46,2016,2:05:56,2016,5:04:00,2016,"1,443 mi",272,353 hrs,"13,512 ft",5:3:59.63300000000163,49.651171701857066,10:59.20609480351516,659.2060948035152,12,21.27701417972585,10:37.84935401941186,637.8493540194119,29,2016-04-24,2:14:53.6899999999996,0,0,0,0,0,0,0,0,null,1:7:34.08199999999988,0,0,0,0,0,0,0,0,null,0:28:44.861000000000104,0,0,0,0,0,0,0,0,null
ZeroMeters,14,27:03,2017,57:42,2017,1:46:47,2015,3:51:50,2015,"1,196 mi",162,222 hrs,"68,223 ft",3:51:50.350000000000364,154.50476592889012,9:29.326364386399632,569.3263643863996,60,60.1715190699293,9:31.305212687900166,571.3052126879002,100,2015-11-01,1:46:47.30000000000018,155.73028902117218,9:41.058255068785684,581.0582550687857,64,45.33148785630548,9:37.6229813957998,577.6229813957998,77,2015-09-26,0:43:18,0,0,0,0,0,0,0,0,null,0:26:37.059999999999945,0,0,0,0,0,0,0,0,null
jmh3ruva,14,17:41,2017,38:07,2017,1:21:04,2017,3:00:32,2016,,,,,3:5:20.0634765625,0,0,0,0,0,0,0,0,null,1:22:55.89800000000014,0,0,0,0,0,0,0,0,null,0:38:46.278076171875,0,0,0,0,0,0,0,0,null,0:18:11.5069580078125,0,0,0,0,0,0,0,0,null
kerwincormier,13,29:46,2015,1:21:34,2016,2:41:32,2014,5:50:37,2014,231 mi,64,69 hrs,"6,610 ft",5:50:37,112.53867216788662,13:35.960489235301566,815.9604892353016,47,48.43307970969468,13:29.513323710558325,809.5133237105583,97,2014-04-26,2:41:32,48.295294965638085,12:32.483308346912395,752.4833083469124,18,26.065249833264968,13:16.545373609640592,796.5453736096406,57,2014-02-23,1:21:24.840000000000146,26.123176788828545,14:28.74836025705656,868.7483602570566,26,34.47547907837996,13:56.901788013938926,836.9017880139389,79,2015-11-14,0:38:30,0,0,0,0,0,0,0,0,null
Kessler62,13,21:22,2017,44:25,2017,1:42:12,2017,3:43:19,2017,"2,036 mi",276,204 hrs,"20,656 ft",3:43:19.049000000000888,113.86089161874328,8:45.38040504055084,525.3804050405508,54,75.8525431878552,8:37.91469884073763,517.9146988407376,173,2017-10-15,1:42:12.239999999999782,71.05530476185639,8:29.119291588343742,509.11929158834374,48,49.27267144047243,8:40.89421297835793,520.8942129783579,131,2017-05-21,0:44:25,69.48243178090921,8:14.524369536903805,494.5243695369038,53,58.51127999456663,8:35.54904137827771,515.5490413782777,157,2017-07-08,0:21:22,70.8995350954214,8:17.507715364787828,497.5077153647878,53,57.83589255268601,8:36.28058130996635,516.2805813099664,155,2017-07-04
drtraiger,14,22:42,2015,49:18,2015,1:50:55,2015,4:41:55,2014,"3,537 mi",393,360 hrs,"12,556 ft",277777:46:40,0,0,0,0,0,0,0,0,null,277777:46:40,0,0,0,0,0,0,0,0,null,1:17:25.123999999999796,0,0,0,0,0,0,0,0,null,0:30:16.200000000000045,0,0,0,0,0,0,0,0,null
mcdaniel1967,14,23:45,2012,,,1:45:12,2013,4:06:33,2011,194 mi,114,35 hrs,923 ft,277777:46:40,0,0,0,0,0,0,0,0,null,1:45:12.068000000000211,91.18497023624592,9:22.761493117230998,562.761493117231,35,46.41548295160334,9:53.916833643856876,593.9168336438569,77,2013-11-24,0:55:27.81800000000021,0,0,0,0,0,0,0,0,null,0:27:12.851000000000113,0,0,0,0,0,0,0,0,null
Lokiman,14,24:41,2014,49:27,2015,1:55:58,2014,4:04:34,2014,445 mi,45,41 hrs,"17,077 ft",1:0:7.02197265625,0,0,0,0,0,0,0,0,null,1:0:7.02197265625,0,0,0,0,0,0,0,0,null,0:49:26.922999999999774,201.4274008806923,9:39.464083947882955,579.464083947883,105,160.0458847519273,10:8.260728275266729,608.2607282752667,342,2015-01-09,0:24:33.05099999999993,195.33415975907306,9:42.95182201506441,582.9518220150644,110,166.7917914590247,10:1.647416951287596,601.6474169512876,370,2015-02-14
julhan,14,26:51,2016,55:22,2017,2:00:45,2017,5:09:49,2016,"1,037 mi",269,180 hrs,"17,302 ft",5:9:49.46299999999974,55.37918028508582,10:49.20017742387847,649.2001774238785,20,53.93520428664336,11:16.668127049342843,676.6681270493428,131,2016-11-27,2:0:44.9189453125,81.79654101822214,10:21.530283011427628,621.5302830114276,55,54.30097421017842,10:21.098939004297904,621.0989390042979,137,2017-10-01,0:58:30.802000000000135,0,0,0,0,0,0,0,0,null,0:26:50.94200000000001,69.29182563452513,10:58.205417195349014,658.205417195349,30,52.718347272795036,11:16.959104616758395,676.9591046167584,130,2016-10-16
NicoGuga,14,20:24,2017,42:57,2017,1:37:30,2016,3:29:41,2016,"1,154 mi",173,152 hrs,"19,452 ft",3:29:40.74799999999959,104.78501538933148,8:20.054816730995356,500.05481673099536,41,35.42220361556084,8:18.134459434043094,498.1344594340431,53,2016-10-23,1:38:52.501953125,0,0,0,0,0,0,0,0,null,0:44:15.5849609375,0,0,0,0,0,0,0,0,null,0:24:34.45100000000002,0,0,0,0,0,0,0,0,null
Jayhawk7174,14,21:10,2016,47:17,2016,1:43:44,2017,3:59:12,2016,"1,307 mi",195,204 hrs,"33,534 ft",3:59:12,195.13138512267963,9:19.225282654527632,559.2252826545276,73,138.36148876765216,9:7.3594290906899005,547.3594290906899,230,2016-12-10,1:43:44,135.07510370047524,9:18.25737146209258,558.2573714620926,49,135.6831989183956,9:10.51060004149781,550.5106000414978,222,2017-02-25,0:47:17,116.30133056615337,8:50.86126959555054,530.8612695955505,52,118.4182956988579,9:5.843376244070782,545.8433762440708,211,2016-04-02,0:21:10,106.57047402454837,8:36.21809733773932,516.2180973377393,53,118.56487908086534,9:3.6840023767477987,543.6840023767478,206,2016-05-07
GaryBraman,14,21:23,2016,47:52,2017,,,3:36:24,2017,"2,084 mi",298,413 hrs,"172,188 ft",3:36:23.8564453125,162.30702739210867,9:22.863142007857164,562.8631420078572,63,60.77263683609679,9:36.537871473293535,576.5378714732935,119,2017-04-09,1:53:49.76299999999992,0,0,0,0,0,0,0,0,null,0:50:31.327999999999975,0,0,0,0,0,0,0,0,null,0:21:50.22998046875,0,0,0,0,0,0,0,0,null
scottlpage,14,21:38,2015,47:32,2017,1:40:47,2017,3:48:34,2016,"2,177 mi",362,369 hrs,"161,220 ft",3:48:34,195.0691463581343,9:0.4357410429124684,540.4357410429125,69,172.24216656103332,9:6.680749242090883,546.6807492420909,286,2016-12-03,1:40:46.78076171875,176.7098122671956,8:56.465798160958684,536.4657981609587,67,174.0308991999964,8:57.95351984750994,537.9535198475099,284,2017-04-22,0:47:33.48000000000002,7.0581377044834115,8:38.529601796880684,518.5296017968807,4,1.7645344261208529,8:38.529601796880684,518.5296017968807,4,2014-10-22,0:22:4.1400000000001,0,0,0,0,0,0,0,0,null
KSpinner1955,14,26:02,2015,54:29,2015,2:06:44,2015,4:54:47,2016,202 mi,78,53 hrs,"4,899 ft",4:54:46.70100000000093,139.4035505238172,10:22.21311203390519,622.2131120339052,54,124.5272570329037,10:12.40676860956546,612.4067686095655,224,2016-01-17,2:6:43.970000000000255,148.0620440677545,10:3.192134052021629,603.1921340520216,60,114.85127598891471,10:16.856874742120226,616.8568747421202,299,2015-02-21,0:54:28.947999999999865,111.17689860439681,10:3.614763280321881,603.6147632803219,54,118.99685585395254,10:9.159616555747675,609.1596165557477,246,2015-07-18,0:28:42.74499999999989,0,0,0,0,0,0,0,0,null
BrandyH,14,27:42,2012,58:23,2012,2:06:59,2014,4:55:36,2014,"1,220 mi",129,304 hrs,"101,587 ft",4:55:36.25800000000163,74.43085985559297,12:28.111635971503006,748.111635971503,38,99.00714164398653,12:48.17526059699901,768.175260596999,210,2014-03-02,2:6:58.90800000000036,69.76347653903673,12:19.666827017417177,739.6668270174172,38,101.61610504927484,12:46.10423658320383,766.1042365832038,217,2014-04-12,1:2:15.75799999999981,0,0,0,0,0,0,0,0,null,0:27:41.902000000000044,0,NaN:NaN,NaN,0,0,NaN:NaN,NaN,0,2012-10-07
cdcb52,14,21:16,2014,47:33,2016,1:44:25,2016,5:40:32,2016,438 mi,52,99 hrs,"38,864 ft",4:53:14,0,0,0,0,0,0,0,0,null,1:44:24.842999999999847,45.47311941541253,9:3.9719476326347376,543.9719476326347,15,53.56507688451995,9:55.588643861720016,595.58864386172,80,2016-03-06,0:50:15,0,0,0,0,0,0,0,0,null,0:22:5.34699999999998,0,0,0,0,0,0,0,0,null
sharoncarver,13,22:48,2014,46:24,2014,1:39:02,2014,3:45:09,2013,585 mi,89,107 hrs,"36,735 ft",3:52:27.93000000000029,0,0,0,0,0,0,0,0,null,1:46:27.846999999999753,0,0,0,0,0,0,0,0,null,0:50:46.0329999999999,0,0,0,0,0,0,0,0,null,0:23:45.54299999999989,0,0,0,0,0,0,0,0,null
CrustyDusty28,14,,,,,,,2:22:16,2016,"1,364 mi",241,162 hrs,"34,498 ft",2:22:16.188000000000102,373.6651360184921,6:59.90088417624048,419.9008841762405,151,137.21509801119296,7:1.728437725899937,421.72843772589994,228,2016-02-13,1:9:36.4409999999998,0,0,0,0,0,0,0,0,null,0:36:8.302000000000135,0,0,0,0,0,0,0,0,null,0:15:49.05899999999997,0,0,0,0,0,0,0,0,null
jsnhwll3,14,16:57,2017,33:58,2017,1:12:58,2017,2:38:07,2016,"2,427 mi",439,277 hrs,"38,845 ft",2:39:29,179.98865373382876,6:54.51367508790298,414.513675087903,66,166.93170751156785,7:20.434370414051955,440.43437041405195,270,2015-04-20,1:16:35.55799999999999,0,0,0,0,0,0,0,0,null,0:34:30,0,0,0,0,0,0,0,0,null,0:17:17,0,0,0,0,0,0,0,0,null
RAMotter,14,18:09,2017,40:06,2017,1:45:05,2017,3:40:17,2011,"2,309 mi",903,551 hrs,"66,512 ft",277777:46:40,0,0,0,0,0,0,0,0,null,1:43:16.9912109375,0,0,0,0,0,0,0,0,null,0:46:8.945068359375,0,0,0,0,0,0,0,0,null,0:22:14.4110107421875,0,0,0,0,0,0,0,0,null
rowan.jones,14,17:26,2014,36:09,2015,1:19:23,2015,2:54:45,2015,"3,298 mi",381,359 hrs,"152,980 ft",2:49:8.799000000000888,0,0,0,0,0,0,0,0,null,1:19:22.75799999999981,233.11602271738732,7:5.063007302569076,425.0630073025691,81,82.01848376767289,7:6.17112603964307,426.17112603964307,124,2015-10-03,0:36:8.989999999999782,249.57301543904137,7:4.1755523145643,424.1755523145643,87,91.68815736057434,7:5.444194462276698,425.4441944622767,140,2015-10-17,0:17:57.24299999999994,0,0,0,0,0,0,0,0,null
Tgrif72,14,28:13,2016,58:20,2015,2:09:40,2017,5:44:21,2014,730 mi,111,133 hrs,"5,519 ft",6:22:15.393000000000029,0,0,0,0,0,0,0,0,null,1:59:20.83100000000013,0,0,0,0,0,0,0,0,null,0:59:14.963999999999942,0,0,0,0,0,0,0,0,null,0:28:28.1510009765625,67.65399943123359,10:17.002208188127383,617.0022081881274,35,53.46391172477524,10:15.165670417708384,615.1656704177084,148,2017-05-12
Tara_Langdon,14,20:45,2012,54:10,2012,2:26:40,2012,3:19:06,2017,"3,300 mi",283,513 hrs,"51,172 ft",5:55:50,0,0,0,0,0,0,0,0,null,3:27:14.325999999999112,0,0,0,0,0,0,0,0,null,0:58:31,0,0,0,0,0,0,0,0,null,0:47:56,0,0,0,0,0,0,0,0,null
tdconnelly,13,,,,,,,3:29:39,2013,"4,134 mi",410,421 hrs,"133,907 ft",3:29:39.100000000000364,80.52146842805124,8:8.814359305550795,488.8143593055508,21,33.521667267326976,8:3.2728894660316996,483.2728894660317,44,2013-10-27,1:41:33.07499999999982,0,0,0,0,0,0,0,0,null,0:47:3.474999999999909,0,0,0,0,0,0,0,0,null,0:22:37.91399999999999,0,0,0,0,0,0,0,0,null
gtbarido,14,19:49,2017,46:08,2017,1:52:53,2017,4:41:34,2017,"1,735 mi",208,294 hrs,"53,951 ft",4:51:49.61328125,0,0,0,0,0,0,0,0,null,1:52:52.78515625,64.78470264992494,10:21.82429428915202,621.824294289152,24,41.02818892361915,10:5.529736946971525,605.5297369469715,57,2017-07-29,0:48:34.176025390625,0,0,0,0,0,0,0,0,null,0:29:15.9239501953125,0,0,0,0,0,0,0,0,null
marisolh28,14,22:51,2011,50:17,2017,1:41:45,2010,4:08:38,2011,628 mi,128,101 hrs,"17,469 ft",4:8:38,73.27148810485461,8:17.12088028758535,497.12088028758535,56,46.04354942605872,8:42.078433706980036,522.07843370698,154,2011-11-12,1:41:45.31999999999971,67.31940422782013,8:40.42434226101477,520.4243422610148,31,17.542524678853862,8:55.28930443248191,535.2893044324819,34,2010-04-17,0:25:48.950000000000045,0,0,0,0,0,0,0,0,null,0:22:37.61999999999989,35.503668170388686,9:32.06192242429108,572.0619224242911,27,38.89383380764786,9:14.806689239865818,554.8066892398658,92,2011-04-21
ThomasActon,13,22:44,2017,49:05,2017,1:48:38,2017,3:45:53,2017,"1,028 mi",110,200 hrs,"43,523 ft",3:45:52.78125,92.75660739895379,10:33.16503769162239,633.1650376916224,30,109.1655493481727,10:9.493558280200205,609.4935582802002,130,2017-10-15,1:50:19.86181640625,0,0,0,0,0,0,0,0,null,0:52:28.119000000000142,0,0,0,0,0,0,0,0,null,0:22:25,0,0,0,0,0,0,0,0,null
c57954d3-db4f-4dcb-906b-c1c587d43e29,14,25:12,2017,53:55,2018,2:16:34,2018,6:15:45,2017,796 mi,158,157 hrs,"19,892 ft",6:45:31.578125,0,0,0,0,0,0,0,0,null,2:20:20.7734375,0,0,0,0,0,0,0,0,null,0:56:52.0791015625,0,0,0,0,0,0,0,0,null,0:25:11.93896484375,110.97371410168694,12:23.758510339474128,743.7585103394741,57,27.743428525421734,12:23.758510339474128,743.7585103394741,57,2017-08-12
PVilmont,14,23:32,2015,48:02,2015,1:47:31,2015,4:38:04,2015,375 mi,55,68 hrs,"12,263 ft",6:4:51.654296875,0,0,0,0,0,0,0,0,null,1:54:33.26708984375,0,0,0,0,0,0,0,0,null,1:0:19.047119140625,0,0,0,0,0,0,0,0,null,0:23:46.1009521484375,22.23958499194546,10:9.561845274093685,609.5618452740937,6,6.393942606535003,9:55.06131046067742,595.0613104606774,8,2017-05-07
Scottt9553,14,23:06,2017,53:28,2017,2:06:48,2017,4:54:43,2017,709 mi,133,140 hrs,"31,678 ft",7:0:53.07600000000093,0,0,0,0,0,0,0,0,null,2:6:48.0419921875,63.16455615302945,13:3.3011009603967523,783.3011009603968,40,31.53443342203308,12:31.2598814473821,751.2598814473821,79,2017-08-06,0:53:28.06396484375,45.64097297631764,12:40.55656927622488,760.5565692762249,30,15.223650194426355,12:6.107031832045209,726.1070318320452,38,2017-05-06,0:26:17.72900390625,0,0,0,0,0,0,0,0,null
valruns01,13,20:28,2017,41:57,2017,1:32:46,2017,3:22:11,2017,"2,478 mi",317,404 hrs,"169,365 ft",4:0:17.763999999999214,0,0,0,0,0,0,0,0,null,1:48:11.856999999999971,0,0,0,0,0,0,0,0,null,0:55:10.405999999999949,0,0,0,0,0,0,0,0,null,0:23:57.72199999999998,0,0,0,0,0,0,0,0,null
RunnerGirlMelissa,14,20:41,2016,47:14,2016,1:32:26,2016,3:24:24,2016,"2,397 mi",443,333 hrs,"63,109 ft",3:24:23.63800000000083,73.3544247952577,8:28.377330621199803,508.3773306211998,39,34.31860990633842,8:52.56996616552965,532.5699661655296,64,2016-09-10,1:32:25.740999999999985,76.38340354845259,8:44.71466494126855,524.7146649412686,37,31.368359078877067,8:55.67183334054698,535.671833340547,58,2016-08-27,0:46:4.514000000000124,0,0,0,0,0,0,0,0,null,0:20:44.01999999999998,73.83338511439472,9:12.517513183612664,552.5175131836127,33,22.455786740734297,9:16.078004636635,556.078004636635,39,2016-07-12
Darkhorse_1,14,20:56,2017,17:00,2015,1:13:36,2015,2:45:22,2014,205 mi,18,25 hrs,"10,686 ft",2:47:11.3916015625,0,0,0,0,0,0,0,0,null,1:19:25.3671875,0,0,0,0,0,0,0,0,null,0:22:43.092041015625,0,0,0,0,0,0,0,0,null,0:22:43.092041015625,0,0,0,0,0,0,0,0,null
harvey38,13,23:50,2014,51:56,2017,1:52:39,2017,4:36:59,2017,"1,591 mi",244,244 hrs,"5,269 ft",4:36:59.357421875,100.69516474395495,9:28.746103048442706,568.7461030484427,39,100.81621020053005,9:8.030828251847538,548.0308282518475,178,2017-10-08,1:52:39.0751953125,82.94401618944595,8:51.401563881007974,531.401563881008,39,75.52558807973917,9:17.553220924524908,557.5532209245249,135,2017-04-02,0:51:56.0380859375,86.90201564011359,8:48.85538676628926,528.8553867662893,42,79.76255740193604,9:14.597227453285768,554.5972274532858,145,2017-04-24,0:23:49.922000000000025,0,NaN:NaN,NaN,0,0,NaN:NaN,NaN,0,2014-04-17
cristian.cucco.multiplus,14,19:55,2016,42:52,2017,1:40:20,2017,4:02:21,2017,"1,664 mi",297,220 hrs,"98,941 ft",4:2:20.909999999999854,137.71040302235699,7:44.38770973812609,464.3877097381261,64,160.27397204236948,7:50.14394969933272,470.1439496993327,297,2017-01-08,1:40:20.27783203125,143.12077965538603,7:46.8756028057324,466.8756028057324,75,138.2171916732299,7:47.60466536245116,467.60466536245116,284,2017-10-01,0:38:30.61999999999989,0,0,0,0,0,0,0,0,null,0:19:43.113000000000056,0,0,0,0,0,0,0,0,null
shortty_duke30,14,33:07,2017,,,2:22:06,2017,5:33:57,2017,259 mi,29,58 hrs,"2,955 ft",7:38:48.974609375,0,0,0,0,0,0,0,0,null,2:22:5.9296875,8.00975337958806,11:27.8718656546705,687.8718656546705,5,3.6710706206539503,11:49.78932835091939,709.7893283509194,7,2017-05-06,1:20:8.6298828125,0,0,0,0,0,0,0,0,null,0:33:7.1839599609375,23.05627123994412,11:24.861829698883525,684.8618296988835,12,7.432700085742964,11:36.362791064789235,696.3627910647892,14,2017-05-29
GUSTAVOSILVEIRA,14,15:00,2015,46:20,2014,4:29:46,2015,10:39:03,2015,416 mi,114,210 hrs,"22,598 ft",11:26:1.444999999999709,0,0,0,0,0,0,0,0,null,2:1:56.9369999999999,0,0,0,0,0,0,0,0,null,0:49:24.782000000000153,0,0,0,0,0,0,0,0,null,0:24:58.124000000000024,0,0,0,0,0,0,0,0,null
dougandlori,14,20:59,2015,44:37,2016,1:35:56,2016,3:26:38,2016,"2,419 mi",614,459 hrs,"97,726 ft",3:30:8.155000000000655,0,0,0,0,0,0,0,0,null,1:35:55.74399999999969,186.48837618733967,8:56.079363464300286,536.0793634643003,110,99.7041043740498,8:55.05833337139484,535.0583333713948,232,2016-10-15,0:45:13.11999999999989,0,0,0,0,0,0,0,0,null,0:21:44.621000000000095,0,0,0,0,0,0,0,0,null
ajdst40,14,21:39,2016,48:47,2014,1:44:57,2016,3:37:52,2016,"1,338 mi",152,286 hrs,"140,312 ft",3:40:54,0,0,0,0,0,0,0,0,null,1:48:41,0,0,0,0,0,0,0,0,null,0:0:0,0,0,0,0,0,0,0,0,null,0:0:0,0,0,0,0,0,0,0,0,null
tonyastankov,14,,,42:16,2012,1:38:57,2013,3:36:49,2012,0 mi,0,0 hrs,0 ft,3:36:49,0,NaN:NaN,NaN,0,0,NaN:NaN,NaN,0,2012-04-15,1:38:57.10900000000038,163.56658630245946,7:49.78422103425618,469.7842210342562,63,43.592795804491296,7:50.391187845936145,470.39118784593614,65,2013-02-17,0:42:16,0,NaN:NaN,NaN,0,2.183338615001595,8:16.525516419972007,496.525516419972,1,2012-10-21,0:21:37.159000000000106,0,0,0,0,0,0,0,0,null
takenobee,14,21:28,2015,41:13,2015,1:31:16,2015,3:44:42,2014,139 mi,16,22 hrs,"2,553 ft",3:33:5.6229999999995925,0,0,0,0,0,0,0,0,null,1:31:16.079999999999927,33.39338279460317,8:27.797191566363153,507.79719156636315,13,14.674594864975704,8:47.13996453349273,527.1399645334927,24,2015-02-01,0:48:9.804999999999836,0,0,0,0,0,0,0,0,null,0:21:39.27399999999989,56.07855394136727,10:3.819451230326763,603.8194512303268,25,14.019638485341817,10:3.819451230326763,603.8194512303268,25,2014-02-16
MG-90,14,23:54,2018,49:03,2018,1:47:22,2017,9:00:32,2017,756 mi,241,360 hrs,"58,398 ft",9:14:59.109375,0,0,0,0,0,0,0,0,null,1:52:12.60205078125,0,0,0,0,0,0,0,0,null,0:49:2.9951171875,35.26841637543056,8:34.96587494816799,514.965874948168,17,36.30509541820578,9:53.3486377719571,593.3486377719571,66,2018-01-23,0:27:11.585000000000036,0,0,0,0,0,0,0,0,null
chris.thorendahl,14,17:24,2015,39:04,2015,1:24:50,2016,3:15:24,2015,"2,120 mi",267,318 hrs,"51,642 ft",3:15:23.91400000000067,210.52396634645257,8:24.158528085742773,504.1585280857428,71,97.60815199605634,8:44.73517104803591,524.7351710480359,144,2015-10-17,1:24:50.225000000000364,193.17720721952273,8:23.4521484177003,503.4521484177003,74,162.23461584666185,8:32.916361277564874,512.9163612775649,239,2016-05-14,0:39:30.076000000000022,0,0,0,0,0,0,0,0,null,0:18:29.7170000000001,0,0,0,0,0,0,0,0,null
CourtneyStanton,14,19:57,2014,41:34,2015,1:30:35,2015,3:24:18,2013,431 mi,121,62 hrs,"15,032 ft",3:53:13.136000000000422,0,0,0,0,0,0,0,0,null,1:3:17.416999999999916,0,0,0,0,0,0,0,0,null,0:42:48.440000000000055,0,0,0,0,0,0,0,0,null,0:19:57.299999999999955,49.269269804184745,8:11.257534284468136,491.25753428446814,30,12.317317451046186,8:11.257534284468136,491.25753428446814,30,2014-04-27
motoole81,14,,,,,1:28:47,2010,3:11:29,2015,"1,507 mi",625,228 hrs,"20,744 ft",277777:46:40,0,0,0,0,0,0,0,0,null,1:28:47.02000000000044,29.513413366141815,7:52.6780721791182,472.6780721791182,16,7.378353341535454,7:52.6780721791182,472.6780721791182,16,2010-04-18,0:48:10.976000000000113,0,0,0,0,0,0,0,0,null,0:19:31.680000000000064,0,0,0,0,0,0,0,0,null
TiffanySchwartz,14,19:09,2016,41:05,2016,1:28:20,2013,3:19:13,2015,"2,917 mi",433,418 hrs,"360,043 ft",277777:46:40,0,0,0,0,0,0,0,0,null,1:32:53.63199999999961,0,0,0,0,0,0,0,0,null,0:43:29.56399999999985,0,0,0,0,0,0,0,0,null,0:19:34.613000000000056,0,0,0,0,0,0,0,0,null
