user,level,5K,5KYear,half,halfYear,marathon,marathonYear,distance,activities,time,elevation
jeffdnapoli,2,22:10,2016,1:43:18,2015,3:52:53,2014,924 mi,161,140 hrs,"27,211 ft"
zubinj,3,22:29,2017,1:36:56,2017,3:59:03,2017,"1,610 mi",216,240 hrs,"30,014 ft"
figjer,5,21:04,2016,1:33:32,2014,3:36:45,2017,"1,316 mi",155,188 hrs,"32,355 ft"
thebraddock,11,25:09,2017,2:02:52,2016,4:30:48,2018,"2,251 mi",585,406 hrs,"20,610 ft"
fitpocketrocket,10,21:24,2017,1:42:14,2017,,,676 mi,224,89 hrs,"12,534 ft"
SabersMSC,11,22:53,2017,2:00:44,2016,,,"1,062 mi",400,168 hrs,"20,107 ft"
nishadstarzz,11,19:12,2016,1:57:01,2016,,,"1,028 mi",195,158 hrs,"11,258 ft"
SerdarYilmaz,11,20:43,2016,1:43:06,2016,,,72 mi,17,20 hrs,"3,637 ft"
Kimmienez,11,26:05,2015,2:21:26,2015,,,434 mi,147,112 hrs,"19,634 ft"
TrukTherapy,11,18:36,2016,2:08:21,2015,4:50:01,2016,11 mi,9,57 hrs,157 ft
CuffeStuff,11,25:52,2014,2:10:11,2014,,,0 mi,0,0 hrs,0 ft
Adam_Barnes,10,20:13,2017,1:44:38,2017,,,"3,084 mi",685,545 hrs,"36,198 ft"
RealRunRyan,10,23:26,2017,1:55:09,2013,5:05:39,2013,"1,149 mi",228,234 hrs,"43,375 ft"
grahgj63,10,25:54,2010,2:25:25,2008,,,125 mi,76,36 hrs,0 ft
G-C-N,9,33:49,2017,2:30:01,2018,4:23:03,2018,"4,351 mi",1390,853 hrs,"208,018 ft"
skyediver1,9,23:34,2014,1:57:56,2014,,,"1,161 mi",193,167 hrs,"48,497 ft"
nelsonscat,11,38:51,2017,3:02:46,2015,,,152 mi,40,37 hrs,"4,722 ft"
vietvh,11,17:56,2016,2:58:43,2016,,,204 mi,44,43 hrs,"2,307 ft"
edsonis,11,16:33,2017,1:25:11,2013,,,952 mi,294,108 hrs,"32,014 ft"
harristsafaras,11,20:39,2017,1:46:54,2017,,,518 mi,174,104 hrs,"28,735 ft"
Amymagdalein,11,21:29,2017,2:01:24,2016,4:22:12,2016,"2,495 mi",451,411 hrs,"9,339 ft"
Malinois116,11,31:11,2016,2:22:57,2016,,,686 mi,205,173 hrs,"33,001 ft"
