user,5K,5KYear,marathon,marathonYear,distance,activities,time,elevation,level
dardeville999,20:41,2016,1:41:52,2017,,,"1,833 mi",282,301 hrs,"23,028 ft",11
CarlaRemistani,22:13,2018,1:43:11,2017,3:38:27,2016,"2,152 mi",230,323 hrs,"130,598 ft",11
CassieYoda,31:09,2015,2:27:46,2016,5:30:32,2014,501 mi,168,122 hrs,"2,539 ft",11
CharlyArias,20:41,2016,1:37:26,2017,3:51:29,2016,"1,123 mi",408,138 hrs,"21,603 ft",11
CMCD62,21:36,2017,1:45:54,2016,3:51:57,2017,"5,186 mi",448,509 hrs,"55,192 ft",11
ajima,29:22,2018,2:20:24,2017,5:12:51,2017,744 mi,206,152 hrs,"52,324 ft",11
daleblunk,25:09,2015,1:58:49,2010,4:56:08,2013,323 mi,33,31 hrs,"9,276 ft",11
dtrout,20:30,2013,1:47:17,2017,,,"1,707 mi",258,184 hrs,"45,130 ft",11
Dunky0307,17:11,2014,1:29:58,2017,3:34:43,2015,985 mi,233,116 hrs,"19,087 ft",11
DARIOMOSCHEN,23:56,2017,2:10:50,2017,4:12:21,2014,987 mi,191,161 hrs,"6,358 ft",11
DarioPM,20:53,2016,1:40:22,2016,,,823 mi,178,134 hrs,"41,912 ft",11
dcenturion,26:28,2015,2:15:55,2016,5:10:28,2015,394 mi,316,199 hrs,"2,293 ft",11
dtpintado,19:15,2016,1:35:02,2016,,,"1,401 mi",185,163 hrs,"41,183 ft",11
Dominaho,9:28.9,2016,54:43,2016,3:45:50,2016,"2,855 mi",401,397 hrs,"87,805 ft",11

