user,level,5K,5KYear,10K,10KYear,half,halfYear,marathon,marathonYear,distance,activities,time,elevation
niclas.77,11,19:35,2018,40:06,2018,1:32:12,2015,3:31:10,2015,"4,176 mi",754,403 hrs,"129,802 ft"
Bencharp,10,16:38,2017,42:06,2017,1:57:01,2017,,,"5,491 mi",358,479 hrs,"281,184 ft"
Rom1jaeger,11,19:52,2017,47:51,2017,2:04:24,2017,4:09:29,2017,"3,198 mi",209,294 hrs,"181,201 ft"
ebeguinRunner,10,,,43:37,2011,1:41:13,2015,3:51:08,2014,13 mi,2,2 hrs,106 ft
Fred_Fer,11,22:50,2016,44:02,2014,2:18:49,2013,,,"3,579 mi",294,390 hrs,"142,149 ft"
kianel,11,23:17,2016,52:10,2016,1:57:17,2017,4:19:18,2016,"3,432 mi",341,385 hrs,"88,245 ft"
gorwood,11,,,,,1:44:00,2014,3:55:00,2014,"2,197 mi",220,287 hrs,"98,212 ft"
nunomps,11,19:06,2016,39:20,2014,1:27:04,2015,3:13:51,2017,"6,046 mi",413,492 hrs,"227,129 ft"
xavierfano,11,16:01,2016,32:39,2016,1:25:20,2016,3:36:49,2013,"4,496 mi",143,499 hrs,"271,827 ft"
Arnodissy,11,,,43:42,2014,1:36:00,2014,4:25:47,2015,0 mi,0,0 hrs,0 ft
Mongadu64,11,15:52,2012,32:17,2012,1:15:47,2012,4:17:24,2014,"1,281 mi",188,163 hrs,"59,806 ft"
Paulo1990,11,17:30,2017,38:30,2015,1:26:49,2017,3:28:47,2014,"6,373 mi",549,594 hrs,"214,145 ft"
yassbaji,11,21:32,2016,46:06,2017,1:41:41,2017,,,"3,671 mi",307,413 hrs,"158,196 ft"
ixxxen,11,,,37:43,2013,1:23:08,2013,3:02:00,2017,"8,270 mi",808,831 hrs,"383,999 ft"
Juls92,11,27:29,2014,43:16,2011,1:34:59,2010,3:50:10,2014,0 mi,0,0 hrs,0 ft
B_PETIT,0,21:24,2015,43:57,2015,1:34:40,2017,3:36:24,2017,"1,719 mi",202,225 hrs,"42,460 ft"
F310Martin,8,,,47:05,2013,1:57:06,2013,,,0 mi,0,0 hrs,0 ft
Kuffew,3,21:06,2015,42:57,2015,1:38:42,2014,3:44:57,2014,"1,208 mi",156,203 hrs,"106,637 ft"
YacineJ,5,22:23,2016,45:16,2016,1:32:48,2016,,,0 mi,0,0 hrs,0 ft
bab90d86-2888-4c39-8713-63b97ecf6b85,10,16:45,2017,36:27,2017,1:20:52,2017,,,,,,
littlegain,11,23:43,2017,45:21,2017,1:58:43,2017,,,"1,695 mi",172,310 hrs,"98,039 ft"
065e8431-d158-4d7f-b0d0-8036d048f72e,11,17:37,2017,,,1:21:34,2017,,,"1,027 mi",133,125 hrs,"19,124 ft"
edsonis,11,16:33,2017,36:00,2017,1:25:11,2013,,,952 mi,294,108 hrs,"32,014 ft"
harristsafaras,11,20:39,2017,48:26,2017,1:46:54,2017,,,518 mi,174,104 hrs,"28,735 ft"
Jairo_runner,11,23:06,2016,46:57,2016,1:49:49,2017,3:58:38,2016,"1,054 mi",164,230 hrs,"55,928 ft"
jozefmiko,11,18:24,2017,39:31,2017,1:29:57,2016,3:18:48,2017,"2,202 mi",342,296 hrs,"78,445 ft"
JurajTerek,11,18:18,2014,36:06,2015,1:19:49,2015,2:47:55,2015,"2,403 mi",342,374 hrs,"196,420 ft"
Kattija,11,18:09,2017,38:07,2017,1:45:26,2017,,,"2,408 mi",733,444 hrs,"34,249 ft"
slejvik_svk,11,21:01,2016,43:51,2016,1:46:20,2016,,,"1,159 mi",250,204 hrs,"33,525 ft"
MarianHabsuda,11,19:42,2016,39:39,2015,1:30:35,2015,3:48:19,2014,"1,586 mi",319,311 hrs,"104,472 ft"
be2702bc-e172-4861-99e1-540a77ff8fb6,11,19:37,2017,39:46,2017,1:45:11,2017,,,676 mi,168,116 hrs,"35,382 ft"
Monkey880,11,22:19,2017,46:10,2017,1:50:26,2017,,,"1,405 mi",194,267 hrs,"43,533 ft"
Lesky65,11,,,41:11,2014,1:32:10,2014,,,"1,209 mi",215,196 hrs,"39,113 ft"
radovan.bobrik,11,17:04,2017,42:57,2015,1:40:47,2015,4:47:20,2015,,,,
RafaelAlves2157,11,18:01,2017,40:27,2017,1:32:55,2017,,,"1,077 mi",172,138 hrs,"25,772 ft"
89c8abfd-209d-4075-8e25-f6cc65ccc2a6,11,19:17,2017,41:17,2017,1:34:51,2017,,,"1,620 mi",295,258 hrs,"99,761 ft"
Strco,11,18:59,2017,39:42,2015,1:33:42,2016,,,378 mi,84,60 hrs,"21,299 ft"
